evt_id,evt_start,evt_end,evt_text,$evt_color,$evt_bg,$evt_category
20241012_egjb3ichmunek054p9rp1mcuag,2024-10-12,2024-10-12,Dussehra,#000000,#FFDBDB,1
20241017_hpigsainfef48ihffvlh1bocsk,2024-10-17,2024-10-17,Maharishi Valmiki Jayanti,#000000,#FFDBDB,1
20241020_quhk0jqkkfd4boaknil3plkubo,2024-10-20,2024-10-20,Karaka Chaturthi (Karva Chauth),#000000,#FFDBDB,1
20241031_8trl2d3dcf10qb6qgd8okigers,2024-10-31,2024-10-31,Naraka Chaturdasi,#000000,#FFDBDB,1
20241102_9mqcd5jrd6dct130r11lufktl0,2024-11-02,2024-11-02,Govardhan Puja,#000000,#FFDBDB,1
20241103_qbi2qcb43ua5tt9b8oeb4ccib0,2024-11-03,2024-11-03,Bhai Duj,#000000,#FFDBDB,1
20241107_cp9qhmg0lu3d7mtmacg68sgfis,2024-11-07,2024-11-07,Chhat Puja (Pratihar Sashthi/Surya Sashthi),#000000,#FFDBDB,1
20241115_j0oopi8fd2gv3o2vp3a7qu3hck,2024-11-15,2024-11-15,Guru Nanak Jayanti,#000000,#FFDBDB,1
20241124_sll9benghg3t5dkpb92k9iilpc,2024-11-24,2024-11-24,Guru Tegh Bahadur's Martyrdom Day,#000000,#FFDBDB,1
20241224_92hua4c6fqklgbufrd6u6hg60o,2024-12-24,2024-12-24,Christmas Eve,#000000,#FFDBDB,1
20241225_a6pnarvpc972si0ru4lpnurteg,2024-12-25,2024-12-25,Christmas,#000000,#FFDBDB,1
20230324_ncs4fk2ltetqgr5cjfcnh4fags,2023-03-24,2023-03-24,Ramadan Start,#000000,#FFDBDB,1
20240312_0trljlg0v4sgivu3qr1u9i4cco,2024-03-12,2024-03-12,Ramadan Start,#000000,#FFDBDB,1
20230414_7nh7vol57irs9lk4umo3s1drck,2023-04-14,2023-04-14,Ambedkar Jayanti,#000000,#FFDBDB,1
20240113_hat7fcp9a4umh3c9q56ipq5i5c,2024-01-13,2024-01-13,Lohri,#000000,#FFDBDB,1
20240114_afnsm6msul4cv6jvfgu1bi8578,2024-01-14,2024-01-14,Makar Sankranti,#000000,#FFDBDB,1
20240306_rfotcrsspe8sckct05hidtn86s,2024-03-06,2024-03-06,Maharishi Dayanand Saraswati Jayanti,#000000,#FFDBDB,1
20240308_aa0givmgt3ht35i9qq2a19rcto,2024-03-08,2024-03-08,Maha Shivaratri/Shivaratri,#000000,#FFDBDB,1
20240414_g8sjce6t2r699kr4nn983sdbo8,2024-04-14,2024-04-14,Mesadi / Vaisakhadi,#000000,#FFDBDB,1
20241011_rbm4g88o14ovr4jq25qh0t2kls,2024-10-11,2024-10-11,Maha Navami,#000000,#FFDBDB,1
20241031_frsesr4i98qdierg4hcme9sr3g,2024-10-31,2024-10-31,Diwali/Deepavali,#000000,#FFDBDB,1
20241031_frsesr4i98qdierg4hcme9sr3g,2023-01-07,2023-01-07,Working saturday,#000000,#FFFC41,3
20241031_frsesr4i98qdierg4hcme9sr3g,2023-01-21,2023-01-21,Working saturday,#000000,#FFFC41,3
20241031_frsesr4i98qdierg4hcme9sr3g,2023-02-04,2023-02-04,Working saturday,#000000,#FFFC41,3
20241031_frsesr4i98qdierg4hcme9sr3g,2023-02-18,2023-02-18,Working saturday,#000000,#FFFC41,3
20241031_frsesr4i98qdierg4hcme9sr3g,2023-03-04,2023-03-04,Working saturday,#000000,#FFFC41,3
